"career","subject","difficulty","question_text","option_a","option_b","option_c","correct_option","explanation","is_active"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál es la principal diferencia entre la concepción de la economía de Lord Robbins y la de James Buchanan según los textos?","Robbins se centra en el intercambio recíproco, mientras que Buchanan se enfoca en la elección tecnológica.","Robbins define la economía como el estudio de la elección entre fines alternativos y recursos escasos, mientras que Buchanan prioriza el estudio del intercambio.","Robbins considera que la economía es un problema de cooperación social, mientras que Buchanan la ve como un problema de asignación de recursos.","B","Robbins ve el problema económico como uno de asignación/elección de recursos escasos para fines competitivos, mientras que Buchanan critica que se olvidó el principio de la propensión al intercambio de Adam Smith.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","En el contexto de la Frontera de Posibilidades de Producción (FPP), ¿qué indica un punto situado por debajo de la curva?","Que la economía es eficiente pero no puede producir más de un bien sin sacrificar otro.","Que la economía es ineficiente, posiblemente debido a recursos desempleados o mal asignados.","Que la combinación de bienes es inalcanzable dados los factores productivos actuales.","B","Un punto dentro o debajo de la FPP indica ineficiencia productiva, ya que la economía no está utilizando al máximo sus recursos disponibles.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si el precio de la nafta baja y esto provoca un aumento en la demanda de autos, ¿cómo se clasifican estos bienes?","Bienes sustitutos.","Bienes independientes.","Bienes complementarios.","C","Los bienes son complementarios si el aumento (o disminución) del precio de uno disminuye (o aumenta) la demanda del otro, al utilizarse conjuntamente.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál de las siguientes es una característica distintiva del pensamiento Mercantilista frente a la Fisiocracia?","Considerar que la riqueza de una nación reside en la posesión de metales preciosos (oro y plata).","Sostener que la única actividad capaz de generar un producto neto es el trabajo de la tierra.","Promover el libre cambio y la mínima intervención del Estado en la economía.","A","El mercantilismo se basa en que los metales preciosos constituyen la riqueza de los estados, mientras que la fisiocracia sitúa el origen de la riqueza en la tierra.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","De acuerdo con el modelo de flujo circular, ¿qué papel desempeñan las familias en el mercado de factores de producción?","Son las compradoras de los servicios productivos ofrecidos por las empresas.","Son las vendedoras o proveedoras de insumos como trabajo, tierra y capital.","Son las encargadas de fijar los precios de los bienes finales de consumo.","B","En el mercado de factores, las familias venden o alquilan sus recursos (trabajo, tierra, capital) a las empresas para que estas produzcan.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si una economía experimenta una mejora tecnológica que solo beneficia la producción de uno de los dos bienes representados en la FPP, ¿cómo se representa gráficamente?","Un desplazamiento paralelo de toda la curva hacia la derecha.","La curva pivota sobre el eje del bien cuya tecnología no cambió, expandiéndose sobre el eje del bien beneficiado.","Un movimiento a lo largo de la frontera actual sin que esta se desplace.","B","Un descubrimiento tecnológico en un solo sector permite incrementar la producción de ese bien sin afectar la máxima producción del otro, resultando en un pivot de la curva.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Qué fenómeno se produce cuando un individuo en una acción colectiva trata de no contribuir con el esfuerzo que le toca, beneficiándose del esfuerzo del resto?","Azar moral.","Selección adversa.","Fenómeno de free rider.","C","El fenómeno del free rider ocurre cuando los individuos evitan contribuir al esfuerzo colectivo esperando que otros lo hagan por ellos.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Según la teoría subjetiva del valor, ¿qué determina el valor de un bien?","La cantidad de horas de trabajo necesarias para producirlo.","La apreciación o deseo del individuo por el bien, independientemente de sus costos de producción.","La escasez absoluta de los recursos naturales utilizados en su fabricación.","B","La teoría subjetiva sostiene que el valor lo da el individuo; si nadie desea el bien, este no vale nada aunque haya costado mucho producirlo.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si la elasticidad-precio de la demanda de un bien es igual a 2, se dice que la demanda es:","Inelástica.","Elástica.","De elasticidad unitaria.","B","Una demanda es elástica cuando el valor absoluto de su elasticidad es mayor que 1, indicando una alta sensibilidad al precio.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál es la consecuencia típica de que el Estado imponga un precio máximo por debajo del precio de equilibrio de mercado?","Un exceso de oferta o excedente de mercadería.","Un exceso de demanda o escasez de producto.","El mercado se mantiene en equilibrio sin alteraciones en las cantidades comercializadas.","B","Un precio máximo restrictivo impide que el precio suba al nivel de equilibrio, provocando que se demande más de lo que se ofrece.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","En macroeconomía, ¿qué representa el PBI Potencial?","La producción real ajustada por la inflación del año corriente.","El máximo nivel sostenible de producto que una economía puede obtener utilizando plenamente su capital y trabajo.","La suma de todos los bienes intermedios producidos en una economía cerrada.","B","El PBI potencial es la capacidad productiva máxima de la economía bajo pleno empleo y uso eficiente de tecnología.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cómo se define a la Población Económicamente Activa (PEA)?","La población total de un país menos los jubilados y estudiantes.","La población que tiene empleo o está buscando activamente trabajo remunerado.","Únicamente las personas que trabajan a jornada completa y reciben salario.","B","La PEA está constituida por los ocupados y los desocupados que buscan empleo activamente.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Un aumento en el ingreso de los consumidores provoca que la demanda de un 'bien inferior':","Se desplace hacia la derecha (aumente).","Se desplace hacia la izquierda (disminuya).","Permanezca constante mientras aumenta el precio.","B","Por definición, un bien inferior es aquel cuya demanda disminuye a medida que aumenta el ingreso del consumidor.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","El costo de oportunidad de producir un bien es:","El precio de mercado de los factores productivos utilizados.","La cantidad de otros bienes a la que se debe renunciar para producirlo.","El beneficio neto obtenido tras restar los impuestos.","B","El costo de oportunidad se define como aquello que se sacrifica o se resigna para obtener un bien o servicio.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Según la dicotomía clásica, ¿qué variables se ven afectadas en el largo plazo por cambios en la oferta monetaria?","Las variables nominales como el nivel de precios.","Las variables reales como el PBI real y el empleo.","Tanto las variables reales como las nominales en igual proporción.","A","La neutralidad del dinero sugiere que cambios en la oferta monetaria solo afectan variables nominales, sin alterar variables reales en el largo plazo.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál es la función principal de la 'Mano Invisible' según Adam Smith?","Permitir que el Estado controle los precios para asegurar el bienestar.","Guiar el interés privado hacia la promoción del bienestar general de forma no intencionada.","Evitar que las empresas privadas compitan entre sí por los recursos escasos.","B","La mano invisible promueve un objetivo social (el bienestar) aun cuando el individuo solo busca su propio beneficio.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Qué mide el deflactor del PBI?","La variación en la cantidad de bienes producidos respecto a un año base.","El nivel general de precios calculado como la razón entre PBI nominal y PBI real.","La tasa de desempleo ajustada por los cambios tecnológicos.","B","El deflactor del PBI es un índice que mide el nivel de precios de todos los bienes producidos internamente en un año.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si el mercado de un bien presenta externalidades negativas en la producción, el equilibrio de mercado libre resultará en:","Una cantidad producida mayor a la socialmente óptima.","Una cantidad producida menor a la socialmente óptima.","Un precio de mercado superior al costo social total.","A","Dado que productores y consumidores ignoran los costos externos, el mercado produce una cantidad excesiva respecto al óptimo social.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","En competencia perfecta, se dice que los participantes son 'tomadores de precios' porque:","Pueden fijar el precio que deseen sin perder clientes.","Son tan numerosos y ofrecen bienes tan similares que ninguno puede influir en el precio individualmente.","El Estado fija el precio y las empresas solo deciden cuánto vender.","B","Debido a la gran cantidad de oferentes/demandantes y la homogeneidad del bien, el precio es un dato del mercado que no pueden alterar por sí solos.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","El desempleo friccional se caracteriza por ser:","A largo plazo y causado por cambios estructurales en la economía.","A corto plazo y resultado del tiempo que los trabajadores tardan en buscar un empleo que se ajuste a sus habilidades.","Causado por salarios mínimos establecidos por encima del equilibrio.","B","El desempleo friccional ocurre inevitablemente mientras los trabajadores transitan hacia trabajos que mejor se adaptan a ellos.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","Si una empresa contrata un trabajador adicional y el valor del producto marginal de ese trabajador es menor que su salario, para maximizar beneficios la empresa debería:","Contratar aún más trabajadores para alcanzar economías de escala.","Despedir trabajadores hasta que el valor del producto marginal iguale al salario.","Subir el precio de sus bienes para cubrir el costo del salario.","B","La condición de optimización para una empresa competitiva es contratar hasta donde el Valor del Producto Marginal sea igual al Salario (VPmL = W).","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál es la diferencia fundamental entre PBI y PBN?","El PBI incluye la inversión bruta y el PBN solo la inversión neta.","El PBI mide la producción según la ubicación territorial, mientras que el PBN la mide según la nacionalidad de los agentes.","El PBI se calcula a precios de mercado y el PBN a costo de factores exclusivamente.","B","El PBI es 'interno' (territorio) y el PBN es 'nacional' (propiedad de los factores sin importar dónde produzcan).","true"
"Licenciatura en Administración","Introduccion a la Economia","media","En el cálculo del PBI por el método del ingreso, ¿cuál de los siguientes rubros NO se incluye?","Salarios pagados al trabajo.","Intereses percibidos por el capital.","Valor total de las ventas de bienes intermedios.","C","El PBI excluye bienes intermedios para evitar la doble contabilización; el método del ingreso suma la retribución a los factores productivos.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","El 'Efecto Fisher' describe la relación en la cual:","Un aumento de la inflación provoca un aumento equivalente en la tasa de interés nominal.","La tasa de interés real aumenta siempre que la oferta monetaria disminuye.","El aumento del gasto público reduce la inversión privada.","A","Según Fisher, la tasa de interés nominal se ajusta uno a uno ante cambios en la tasa de inflación esperada.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Qué caracteriza a un Monopolio Natural?","Es un monopolio creado por una ley estatal para proteger a un sector agrícola.","Surge cuando una única empresa puede ofrecer un bien o servicio a todo un mercado con costos menores que dos o más empresas.","Es aquel que controla recursos naturales únicos, como minas de diamantes.","B","El monopolio natural se da por la estructura de costos de la industria (usualmente altos costos fijos) que hace ineficiente la competencia.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Cuál es la función del multiplicador del dinero?","Determinar cuántas veces el Estado debe imprimir dinero para cubrir el déficit.","Indicar la cantidad de dinero que genera el sistema bancario con cada peso de reservas.","Calcular la velocidad a la cual el dinero circula en la economía por año.","B","El multiplicador del dinero es 1/R (donde R es la ratio de reservas) y muestra la expansión monetaria vía crédito bancario.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","La 'ley de los rendimientos marginales decrecientes' implica que:","Al aumentar todos los factores en igual proporción, el producto disminuye.","Al agregar unidades de un factor variable a un factor fijo, el producto adicional obtenido es cada vez menor.","El costo total de producción cae a medida que la empresa se vuelve más grande.","B","Manteniendo un factor fijo (como la tierra), añadir más factor variable (trabajo) hace que cada trabajador extra aporte menos al total que el anterior.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","¿Qué mide la elasticidad-ingreso de la demanda?","La variación porcentual de la cantidad demandada ante un cambio porcentual en el precio del bien.","La respuesta de la cantidad demandada de un bien ante cambios en el ingreso del consumidor.","La variación del salario real ante cambios en la inflación.","B","Esta elasticidad mide cómo cambia Qd en proporción al cambio en el ingreso de los individuos.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","El término 'Laissez-faire' se asocia principalmente con:","Una economía autoritaria dirigida por el gobierno.","La mínima interferencia estatal en los asuntos económicos y libertad de mercado.","El fomento del proteccionismo industrial mediante aranceles altos.","B","Laissez-faire significa 'dejar hacer', refiriéndose a que el gobierno no debe intervenir en los mercados.","true"
"Licenciatura en Administración","Introduccion a la Economia","media","En contabilidad nacional, la Inversión Neta es igual a:","Inversión Bruta más Impuestos Directos.","Inversión Bruta menos la Depreciación (consumo de capital).","El ahorro público más las exportaciones netas.","B","La inversión neta descuenta la parte del capital que se ha gastado o depreciado durante el año.","true"
